Compensation,Address,Title,Employment Type,URL,Description 
,,4 1/2 Units on Talleyrand in Brossard (2 floor town houses),,https://montreal.craigslist.ca/apa/d/4-1-2-units-on-talleyrand-in/6341711300.html,"4 1/2 Units on Talleyrand in Brossard (2 floor town houses)

1855 Talleyrand, Brossard. Beautiful renovated units. Right behind Place Portobello Shopping Center.

$775.00 per month/ One Month Free on selected units
Included: Fridge/Stove/ 1 Parking spot.
Excluded: Electricity/heat/water tax/Hot water reservoir
Laundry room located in the building.

Near School & Park. Bus 14 & 49 in front of our Building. Takes you directly to Downtown Montreal.

Please email us for more information or call 
 

You can also visit our Website at http://www.goldenequity.ca"
,,5 1/2 units on Talleyrand in Brossard	(2 floor town houses),,https://montreal.craigslist.ca/apa/d/5-1-2-units-on-talleyrand-in/6341714107.html,"5 1/2 units on Talleyrand in Brossard	(2 floor town houses)
                           
1855 Talleyrand, Brossard. Beautiful Renovated Units. Right Behind Place Portobello Shopping Center.

$975.00 per month/ One Month Free on selected units.
Included: En-Suite Laundry Room / 1 Parking Spot 
Upstairs Full Bathroom / Downstairs Powder Room
Excluded: Electricity / Heating / Hot Water/Water Tax

Near School & Park. Bus 14 & 49 in front of our Building.

Please email us for more information or call 
 

You can also visit our Website at http://www.goldenequity.ca"
4BR,Guy metro,"Large 4 bedrooms, downtown",2000,https://montreal.craigslist.ca/apa/d/large-4-bedrooms-downtown/6341714875.html,"VERY GOOD DEAL, Very large 7 1/2, 4 close bedrooms, heating, hot water, fridge and stove include, 2000sq. F . Hard wood floor, high ceiling, 4th floor, very quiet, 2 full bathrooms, hook up for washer dryer, perfect for student, perfect location,               2 minutes walk from Concordia University ,Lasalle College, Guy Metro
Available now
Price 2200$
Please call for visit at"
1BR,St. Anne de Bellevue,Saint Anne De Bellevue/3/1/2/January 1st,,https://montreal.craigslist.ca/apa/d/saint-anne-de-bellevuejanuary/6334386886.html,"At This Location.....Available Jan. 1st.....3/1/2......
Walk To Mac Campus And John Abbot and the quaint village of St. Annes and Boardwalk..
This is all inclusive Heat, Hot Water, Fridge, Stove, Balcony.....Close To Hwy 20, Train To Mtl,
Contact Diana By Phone@
 
......Bilingue....Merci! 

3/1/2 For Jan. 1st.......All Inclusive....Heat, Hot Water, Fridge And Stove....."
,Pointe Claire,Waterfront/4//1/2 Pointe Claire/Immediate/995.00/All Inclusive,,https://montreal.craigslist.ca/apa/d/waterfrontpointe-claire/6338764831.html,"This 4/1/2 is located on Chemin Bord du Lac and it is AN ALL INCLUSIVE Apartment.....Heat, Hot Water, Electricity, Fridge, Stove, Private Balcony With Water view..One Indoor Garage Spot....IMMEDIATE OCCUPANCY.......Close To Trudeau Airport, Public Transit, Donegani Train To Montreal a few minutes' Walk, Hwy 20 Close By......GORGEOUS CONVENIENT LOCATION.....The building is well maintained and quiet.....@995.00.......
If you need it SHORT TERM AND FULLY FURNISHED........12 Months@1200.00
"".....""......................""""""..........................................3 Months........1500.00 A Month
""""............................................................................4 To 6 Months......1300.00 A Month.....
Contact Diana By Phone Only@
 
...........Bilingue.......Merci!"
,,4 1/2 Units on Talleyrand in Brossard,,https://montreal.craigslist.ca/apa/d/4-1-2-units-on-talleyrand-in/6341704054.html,"4 1/2 Units on Talleyrand in Brossard

1855 Talleyrand, Brossard. Beautiful renovated units. Right behind Place Portobello.

$695.00 per month/ One Month Free on selected units
Included: Fridge/Stove/ 1 Parking spot.
Excluded: Electricity/heat/water tax/Hot water reservoir
Laundry room located in the building.

Near School & Park. Bus 14 & 49 in front of our Building. Takes you directly to Downtown Montreal.

Please email us for more information or call 
 

You can also visit our Website at http://www.goldenequity.ca"
1BR,Pointe Claire,"Pardo Street, Pointe/3/1/2/ALL INCLUSIVE/795.00",,https://montreal.craigslist.ca/apa/d/pardo-street-pointeall/6308186712.html,"This is a large 3/1/2 Apt. All Inclusive, Heat, Hot Water, Electricity, Parking@795.00Available ....Nov. 1st..... Very Quiet And Close To John Rennie High School, Pointe Claire Library And Aquatic Centre.... 
Pool Public Transit......Shopping Centre Close By.....THIS IS ALL INCLUSIVE! Heat, Hot Water, Fridge, Stove And One Outdoor parking..Contact Diana By Phone Only@
 
......Find Out About All My West Island Apts......Bilingue...Merci!"
4BR,St. Anne de Bellevue,Upper Duplex/6/1/2/4 BedroomsImmediate Occupancy,,https://montreal.craigslist.ca/apa/d/upper-duplexbedroomsimmediate/6313588585.html,"Close To Mac Campus and John Abbot, Hwy 20/ Train Stn to Mtl......Quaint Village of St.Annes' And Boardwalk.....All INCLUDED AND IMMEDIATE OCCUPANCY@960.00 Heat, Fridge, Stove, Washer Dryer Outlets.....Small Back Yard, Balcony.....TWO LOFT TYPE BEDROOMS UPSTAIRS........Two Downstairs......Eat In Kitchen.......
Other Properties.......Ile Perrot.......5/1/2.......Immediate Ocupancy
.................................
Contact Diana By Phone Only@
 
 Find Out About All My West Island Apts.......Bilingue.....Merci!"
4BR,St. Anne de Bellevue,Upper Duplex/6/1/2/4 BedroomsImmediate Occupancy,,https://montreal.craigslist.ca/apa/d/upper-duplexbedroomsimmediate/6313603258.html,"Close To Mac Campus and John Abbot, Hwy 20/ Train Stn to Mtl......Quaint Village of St.Annes' And Boardwalk.....All INCLUDED AND IMMEDIATE OCCUPANCY@960.00 Heat, Fridge, Stove, Washer Dryer Outlets.....Small Back Yard, Balcony.....TWO LOFT TYPE BEDROOMS UPSTAIRS........Two Downstairs......Eat In Kitchen.......
.................................
Contact Diana By Phone Only@
 
 Find Out About All My West Island Apts.......Bilingue.....Merci!"
2BR,Pointe Claire,Waterfront Pointe Claire/4/1/2 /Immediate/All Inclusive/Indoor Garage,,https://montreal.craigslist.ca/apa/d/waterfront-pointe/6320656348.html,"Beautiful 4/1/2 Apt. on Chemin Bord du Lac, Stunning Waterviews With Private Balcony Which Has A Wooded Empty Lot Beside It...Can't get better than that! Close to Trudeau Airport, Public Transit Outside Apartment, Hwy 20 Close-By, Donegani Train Station Minutes' Walking Distance, 25 Minute Drive To Montreal.....This is a quiet and well-maintained building....ALL INCLUSIVE, Heat, Hot Water, Electricity, Firdge, Stove, Private Balcony And Indoor Garage....AVAILABLE IMMEDIATELY.....THIS IS A SHORT TERM RENTAL JUST BRING YOUR SUITCASES ALL IS PROVIDED.....
3 Months....1500.00 Month
4 To 6 Months....1300.00 Month
7 To 12 Months....1200.00 Month
Contact Diana For A Viewing And Find Out About All My West Island Apts. For Rent......Bilingue...Merci!"
4BR,St. Anne de Bellevue,Upper Duplex/6/1/2/4 BedroomsImmediate Occupancy,,https://montreal.craigslist.ca/apa/d/upper-duplexbedroomsimmediate/6309450430.html,"Close To Mac Campus and John Abbot, Hwy 20/ Train Stn to Mtl......Quaint Village of St.Annes' And Boardwalk.....All INCLUDED AND IMMEDIATE OCCUPANCY@960.00 Heat, Fridge, Stove, Washer Dryer Outlets.....Small Back Yard, Balcony.....TWO LOFT TYPE BEDROOMS UPSTAIRS........Two Downstairs......Eat In Kitchen.......
Other Properties.......Ile Perrot.......5/1/2.......Immediate Ocupancy
.................................
Contact Diana By Phone Only@
 
 Find Out About All My West Island Apts.......Bilingue.....Merci!"
1BR,Montreal,"Large 3 1/2 near Concordia Loyola Campus, perfect for students (2018)",,https://montreal.craigslist.ca/apa/d/largenear-concordia-loyola/6341709244.html,"Summary (Available Jan 2018-May 2018):

Bright and cozy fully furnished apartment in quiet and friendly NDG neighborhood of Montreal, perfect for both students and holiday-goers! Located just under a 10-minute walk to Concordia University Loyola campus. Convenient 10-minute walk away from large mall with McDonald's, Pharmacy, Grocery store, and bank. Bus stop right in front of building with just a 15- minute ride to get to Metro. If coming by car, plenty of free parking available on street. Quick 10 minutes drive to reach main highway.

Our Space:
We are renting out our place for a period of approximately 5 months since we will be away (Starting January 2018 and ending around May 2018). We are searching for a long term rental (Concordia Students attending a Winter Semester, workers, or long term travelers). We normally live here so it is a fully furnished apartment with all the amenities you would require. Just bring your luggage and you are set! :) The apartment is located on the 7th floor of a large apartment complex with private key access and beautiful view. Two elevators available.

Kitchen includes: Oven, stove, fridge, freezer, microwave, coffee maker, slow cooker, rice cooker, plates, cutlery, an assortment of spices. Pretty much anything you need for cooking!

Living Room: 50inch TV, PlayStation 3 with free access to Netflix, large dining room table that can seat 5-6 people, leather couch, work desk with desktop computer and printer. High-speed WIFI and internet.

Entertainment: TV, PlayStation 3, and a large collection of Board Games. Bedroom: Queen sized very comfortable bed, 2 large and 1 small dresser, 2 large closets, access to balcony.

Storage space: 2 large closets in living room. We have our stuff in there now but if you need the space, we will empty it.

Laundry: Washing/Dryers machines available downstairs.

Parking: Free and easily found near the building. You are welcome to use our laundry detergent, soap, shampoo, spices etc...

If you have any questions, please contact me at 
 
 (cell)
Je parle français aussi. Si vous avez des questions, vous pouvez toujours me contacter sur mon cellulaire."
1BR,Montreal West,Beautiful 2 1/2 apartment for sublet,,https://montreal.craigslist.ca/apa/d/beautifulapartment-for-sublet/6341721624.html,"Beautiful 2 ½  apartment for sublet, starting 01.012.2018.
At the corner of Claremont Ave. and Sherbrooke Str. 15 minutes with bus 24 to Downtown,5 min. walk to Vendome Metro Station. $675 (heating and hot water included). Elevator. Second floor. Fridge and stove. Save and nice neighborhood.
Tel.: 
 
 - Janitor. 
 
 - Tenant."
1BR,cote st luc,Cote St Luc  3½ ( 1Bedroom ),,https://montreal.craigslist.ca/apa/d/cote-st-luc-3-1bedroom/6341728901.html,"1 and 2 bedroom apt renovated starting at $850.00 to $950.00 new bathroom and kitchen, stove fridge heating hot water included elevator indoor parking pool quite area across the street shopping mall next to library busses and park 
 
 day evenings weekends"
3BR,4281 Saint-Dominique,Rénové 5-1/2 en plein cœur du Plateau,,https://montreal.craigslist.ca/apa/d/rnoven-plein-cur-du-plateau/6321577397.html,"On vient de completement rénover ce beau 5-1/2 sur le Plateau
Près de la rue Saint-Laurent, des épiceries, autobus, SAQ, universités, parcs
3 chambres à coucher 
Laveuse, sécheuse, four, frigo inclus
Chauffage, électricité non compris
Chats OK, mais pas de chien
Cour en arrière
$1,890 / mois
Disponible maintenant
Textez ou appelez le 
 
 pour visiter. Veuillez inclure l'adresse de l'appartement dans le message.


------------

This beautiful 5-1/2 has just been completely renovated
Near to Saint Laurent street, grocery stores, buses, SAQ, universities, parks
3 bedrooms
Washer, dryer, fridge, oven included
Electricity and heating not included
Cats ok, but no dogs
Courtyard in the back
1,890$ / month
Available now
Text or call 
 
 for a visit. Please include the address of the apartment in your message."
4BR,282 des pins est,Well located 6-1/2 close to McGill and Metro!,,https://montreal.craigslist.ca/apa/d/well-locatedclose-to-mcgill/6317723032.html,"6-1/2 sur le Plateau, super bien située 
Quatre chambres fermées, dont une est double 
Situé au 2me etage
Balcon en avant et en arrière
Four, frigo inclus
5 minutes à pied de la station Sherbrooke
1750$ / mois
1850$ / mois avec laveuse secheuse
Disponible maintenant pour un bail flexible
Textez '282 des pins est' au 
 




----

6-1/2 in a very well located part of the Plateau
Four closed rooms, one is double
Second floor
Balcony in the front and back
Fridge, stove included
5 minute walk from Sherbrooke station
1750$ / month
1850$ / month with washer dryer
Available now for a flexible lease
Text '282 des pins est'"
3BR,,*NEW PRICE* Ensoleillé 5-1/2 LOFT sur Saint-Laurent coin Rachel,,https://montreal.craigslist.ca/apa/d/new-price-ensoleillloft-sur/6320645463.html,"5-1/2 sur le Plateau au coin Saint Laurent et Rachel
Trois chambres fermées chaque avec garde robe
Situé au deuxième étage
Four, frigo, laveuse, secheuse inclus
Chats OK, chiens non
Tout proche de tout
Cuisine ensoleilée
Près des parcs Jeanne-Mance et Mont Royal
1695$ / mois
Disponible maintenant
Textez 
 
 ou envoyez un courriel pour visiter. Veuillez inclure l'adresse de l'appartement dans le message.



----

5-1/2 in the Plateau at the corner Saint Laurent and Rachel
Three closed rooms with each having a closet
Second floor
Fridge, stove, washer, dryer included
Cats OK, dogs no
Sunny kitchen
Super close to everything
Close to Jeanne-Mance and Mount Royal parks
1695$ / month
Available now
Text 
 
 or send an e-mail to visit. Please include the address of the apartment in your message."
4BR,4279 Saint Dominique,Big 6-1/2 on Saint Dominique near Rachel,,https://montreal.craigslist.ca/apa/d/bigon-saint-dominique-near/6327557411.html,"6-1/2 sur le Plateau, super bien située 
Quatre chambres fermées 
Situé au troisieme étage
Balcon en avant et en arrière
Four, frigo inclus
Près des parcs Jeanne-Mance et Mont Royal
1400$ / mois
Disponible maintenant
Textez '4279 Saint Dominique'  a 
 
 pour visiter.


----

6-1/2 in a very well located part of the Plateau
Four closed rooms
Third floor
Balcony in the front and back
Fridge, stove included
Close to Jeanne-Mance and Mount Royal parks
1400$ / month
Available now
Text '4279 Saint Dominique' to 
 
 to visit."
2BR,MONTREAL - Near eastend subway,"*ROOM available for only ONE person, as a temporary-share or room-mate",1000,https://montreal.craigslist.ca/apa/d/room-available-for-only-one/6302774929.html,.
1BR,,SO Nice - SO well renovated - SO perfect price!!!,,https://montreal.craigslist.ca/apa/d/so-nice-so-well-renovated-so/6341760495.html,"SO Nice - SO well renovated - SO perfect price!!!


The perfect 3 ½ on Goyer street with it's totally brand new and wow kitchen, its gorgeous and modern bathroom and its sparkling wood floors!!!! 
Located in the perfect area of Côte-des-Neiges, not far from University of Montreal and HEC; close to all the restaurants, fast food, supermarket and more.
And all the buses you need almost at your doorstep!!
Admire our pictures and call us to visit!!   
 
  or www.montreallodging.ca
***chrispromotion3***                

********************************************************************
Trop beau - Trop bien rénové - Trop parfait!!!


Le 3 ½ le plus  beau sur la rue Goyer, avec sa cuisine branchée et wow, sa salle de bain des plus modernes et ses planchers de bois éclatants!!!
Situé dans le parfait secteur de Côte-des-Neiges, tout proche de l'Université de Montréal et du HEC, à deux pas des restaurants, fast food, supermarchés et plus encore...
Avec tous les autobus nécessaires presque à votre porte!!!
Admirez les photos et téléphonez pour visiter !!!   
 
 ou www.montreallodging.ca
***chrispromotion3***

********************************************************************"
1BR,,Somptueux 3 ½  Entièrement Meublé et Complètement Rénové,,https://montreal.craigslist.ca/apa/d/somptueux-3-entirement-meubl/6331037982.html,"Somptueux 3 ½  Entièrement Meublé et Complètement Rénové

Cet endroit idéal pour étudiants se situe à Côte-des-Neiges, tout près de l'Université de Montréal et du HEC,  et de tous les services, les restos, épiceries, pharmacies, et plus...
Rénové à neuf et meublé avec mobiliers et accessoires haut de gamme, ce somptueux studio comprend: Internet haute vitesse, TV ACL 32"" avec câble,  tous les accessoires de cuisine, serviettes et literie, cuisinière et réfrigérateur, micro-ondes et plus... 
Notre immeuble vous offre également une salle de lavage.

Ne tardez pas à réclamer ce petit trésor, et contactez nous maintenant au 
 

N'hésitez pas à consulter notre site web;  www.montreallodging.ca


                                                            
***ChrisPromotion3***

 Sumptuous 3 ½ Fully Furnished and Fully Renovated

This ideal location for students is in Côte-des-Neiges, close to the University of Montreal and HEC, and all services, restaurants, grocery stores, pharmacies, and more...
Renovated and furnished with  high-end furniture and accessories, this sumptuous studio  includes high speed Internet, TV LCD 32 ""with cable, all kitchen accessories, towels and bedding, stove, refrigerator, microwave and more ...
Our building also offers a laundry room.

Do not wait to claim this treasure, contact us now at 
 

Do not hesitate to visit our website; www.montreallodging.ca
                                           

*** ChrisPromotion3***"
2BR,,4 ½ for rent in the heart of CDN renovated,,https://montreal.craigslist.ca/apa/d/4-for-rent-in-the-heart-of/6331036504.html,"4 ½ for rent in the heart of CDN renove disponible a partir de avril et juillet 

Beautiful 2 bedrooms apartment on the 1st floor , with balcony
The whole apartment has been renovated completely
New kitchen, new bathroom, new wood floors and much more!
Many buses available near by : 129, 161, 165, 369, 370 and 435
Few minutes from University of Montreal and HEC
Few minutes from major hospitals : Jewish Hospital, Ste-Justine, St-Mary's...
Please call : 
 

***chrispromotion3***
*****************************************************************
4 ½ à louer dans quartier CDN available for april and july

Superbe apartement de 2 chambres à coucher au 1er étage,avec balcon
Tout le logement a été entièrement rénové
Nouvelle  cuisine, nouvelle salle de bain, nouveaux planchers de bois et plus encore!
Plusieurs autobus disponibles presqu'à la porte : 129, 161, 165, 369, 370 et 435
Tout près de l'Université de Montréal et HEC
Tout près de grands hopitaux : Hopital Juif de Mtl, Ste-Justine, St-Mary's...
Appelez le 
 

***chrispromotion3***"
3BR,11735 rue Pavillon,Beautiful 51/2 three Bedroom apartment,1200,https://montreal.craigslist.ca/apa/d/beautiful-51-2-three-bedroom/6341442522.html,"Beautiful ,large ,51/2 three bed room,apartment,fully renevated,electrical heating,wood floor,Bright,nea.r everything,stove ,fridge available,parking included.semi bassement,large ,Nice!,heart of west island,,,,,
please contact.,.,'.
 Ms Simin 
 
 
Mr Anthony 
 

Available now,
."
3BR,4825 Grier,Beautiful 51/2 three Bedroom apartment,1500,https://montreal.craigslist.ca/apa/d/beautiful-51-2-three-bedroom/6341442869.html,"Beautiful ,large ,51/2 ,three bed room,apartment,fully renevated,electrical heating,wood floor,Bright,nea.r everything,stove ,fridge available,parking included.semi bassement,large ,Nice!,heart of west island,,,,,,
please contact.'.
 Ms Simin 
 
 
Anthony 
 

Available  sep 2017,.
."
3BR,4825 Grier,Beautiful 51/2 three Bedroom apartment,1500,https://montreal.craigslist.ca/apa/d/beautiful-51-2-three-bedroom/6341443027.html,"Beautiful ,large ,51/2 ,three bed room,apartment,fully renevated,electrical heating,wood floor,Bright,nea.r everything,stove ,fridge available,parking included.semi bassement,large ,Nice!,heart of west island,,,,,,
please contact.'.
 Ms Simin 
 
 
Anthony 
 

Available  sep 2017,.
."
2BR,Ile des Seours,Magnificent two bedroom condo on Ile des Seours,,https://montreal.craigslist.ca/apa/d/magnificent-two-bedroom-condo/6341592058.html,"Magnificent two bedroom condo located in the famous SAX 3 project on Ile des Seours!!! Has two full bathrooms and private terrace, air conditioner and appliances included, access to interior garage, exterior swimming pool. Possible furnished or unfurnished. Ideally located within walking distance of many stores, grocery stores, banks, restaurants, gas station. Rental agreement subject to credit check by owner.

Magnifique condo de deux chambres à coucher situé dans le fameux projet SAX 3 sur l'Ile des Seours !!! Comprend deux salles de bains et terrasse privée, air conditionné et appareils ménagers inclus, l'accès au garage intérieur, piscine extérieure. Possible meublé ou non. Idéalement situé à distance de marche de nombreux magasins, épiceries, banques, restaurants, station d'essence. Contrat de location sous réserve de vérification de crédit par le propriétaire."
2BR,Queen Mary / Snowdon,"Bright , Cozy and Pleasant 4 1/2 apt with Balcony, close to metro",,https://montreal.craigslist.ca/apa/d/bright-cozy-and-pleasantapt/6341339098.html,"Bright and Pleasant 4 1/2 apt.
 Open View, facing to Queen Mary street.
 Wooden floor.
 Front big Balcony.
 Living room with big window.
 Hot water, Fridge and Stove included.
 Well maintained building with janitor and Elevator.
 Laundromat in the building.
 Close to Metro Snowdon and cote-des-Neiges.
 Near all amenities, school and Montreal university, 
 Just 20 minutes to downtown. 
 Available in November
 Rent $750 


 Lumineux et Agréable 4 1/2 apt.
 Vue ouverte, face à la rue Queen Mary.
 Sol en bois.
 Front large balcon.
 Salon avec grande fenêtre.
 Eau chaude, réfrigérateur et poêle inclus.
 Bâtiment bien entretenu avec concierge et ascenseur.
 Laverie automatique dans le bâtiment.
 Près du métro Snowdon et Cote-des-Neiges.
 Près de toutes les commodités, de l'école et de l'université de Montréal,
 À seulement 20 minutes du centre-ville.
 Disponible en novembre
 Louer 750$"
3BR,ST-LEONARD,"CLEAN,PAINTED 5 1/2, 2ND FLOOR IN A 5-PLEX,AVAIL FOR SEPT",,https://montreal.craigslist.ca/apa/d/cleanpaintednd-floor-in-5/6330625860.html,"LOCATED ON A VERY QUIET STREET CLOSE TO ALL SERVICES AND PUBLIC TRANSPORTS
IN A 5-PLEX AT THE 2ND FLOOR,ALL FRESH  PAINTED,REFINISHED WOOD-FLOORS
-3 CLOSED BEDROOMS,OF GOOD DIMENTIONS
-LARGE LIVING-ROOM WITH  BIG BALCONY AND PATIO-DOOR
-SPACIOUS KITCHEN /DINING WITH PATIO -DOOR AND BALCONY
-SPACIOUS HALLWAY 
-FULL BATHROOM WITH HOOKUPS FOR WASHER/DRYER
(NOTHING IS INCLUDED)
IDEAL FOR ELDERLY COUPLE, WITH GOOD REFERENCES / CREDIT,(NO PETS/NON SMOKERS)
TO VISIT THE APT CALL AT: 
 
)"
3BR,av larose,"clean,5 1/2 upper 2-plex avail  dec. (sault-au reccolet/ahuntsic)",,https://montreal.craigslist.ca/apa/d/clean5-1-2-upper-2-plex-avail/6311120163.html,"located on a very good street close to many services and public transports
(nothing included)
available for December 1st 2017
-3 rooms
-living-room
-kitchen
-full bathroom with hookups for washer/dryer
we are looking for clean quiet tenant with good-credit and references
(no pets /non smokers)
to visit the apt call at :
 
)"
3BR,LONGUE-POINTE,"RENOVATED,CLOSE TO METRO STATION LANGELIER 5 1/2 UPPER 2-PLEX",,https://montreal.craigslist.ca/apa/d/renovatedclose-to-metro/6341341505.html,"LOCATED ON A QUIET RESIDENTIAL STREET CLOSE TO ALL SERVICES AND PUBLIC TRANSPORTS,SUCH AS: METRO STATION LANGELIER / CADILAC,CLOSE TO (CENTRE COMMERCIAL DOMAIN) AND MUCH MORE...
AVAILABLE FOR NOVEMBER 1ST (NOTHING IS INCLUDED)
-3 CLOSED BEDROOMS, WITH BIG MASTER BEDROOM (ALL WOOD-FLOORS ARE BEING REFINISHED)
-LIVING-ROOM WITH BALCONY IN FRONT-DOOR
-KITCHEN WITH HOOKUPS FOR WASHER/DRYER,AND BALCONY (KITCHEN IS BEING ALL RENOVATED,NEW CABINETS /NEW CERAMIC FLOOR
-FULL BATHROOM
IDEAL FOR QUIET COUPLE WITH GOOD CREDIT AND REFERENCES,(OK FOR CAT/ DOG/AND SMOKERS )
TO VISIT THE APT CALL AT:
 
)"
3BR,"4520 Bosco, Brossard","Beautiful Townhouse for rent in Brossard, recent construction",1571,https://montreal.craigslist.ca/apa/d/beautiful-townhouse-for-rent/6341349363.html,"Beautiful town house located at the heart of Brossard, 15min to downtown of Montreal, 5 minute to Dix30 area. Convenient with public transportation and close to supermarket, excellent school and day care in the surrounding area. Municipal park is right behind the garden, and public swim pool within 5 min walking. Municipal library access within 8 min by car. Good neighborhood, quiet and secured area.

House were built in 2013. 2 storeys with basement fully finished. 1571 square feet living area (excluding basement). 3 bedrooms and one bathroom (separated shower and bath) on the second floor, Kitchen, dinning room, living room and powder room on the first floor. Indoor single garage and outside driveway.
Second bathroom with shower in basement, also a large family room.
Electric heated and thermopump (air conditioning included).

It will be available starting from December 1st, 2017. Credit check will be required.
Furniture, electricity and water costs not included. Pets not allowed.

Manifique maison en rangee contruite en 2013 avec un sous-sol fini avec salle de bain complete.
Situe dans un secteur tres recherche, a 5 minutes du populaire Quartier Dix30 et a 10 minute du centre -ville de Montreal.
Tres lumineux avec 3 chambres a coucher donc 1 avec walk-in, garage simple avec stationnement a l'exterieur pour 2 voiture compact.
le service de transport public est tres pres (bus 32, 38 pour Bonaventure en direct) 
Ecole et garderie a quelque pas, grand terrain de soccer and parc pour petit est juste en arriere de la maison. Piscine public a 6 minute a pied.

Disponible en Decembre ou un peu plustot."
1BR,boul. René-Lévesque/Montréal,Beautiful condo 3 1/2  Au centre-ville Meublé,600,https://montreal.craigslist.ca/apa/d/beautiful-condoau-centre/6340950455.html,"Luxueux condo 3 1/2 à louer meublé à louer au centre-ville de Montréal, à deux pas des rues Sainte-Catherine et Sherbrooke. Vous offre une chambre à coucher, un espace cuisine, salle à manger et salon à aire ouverte, ainsi qu'une vaste fenestration laissant entrer la lumière naturelle.  

Faisant partie d'un complexe d'habitation de luxe, vous apprécierez l'insonorisation supérieure que seul peut procurer. Le condo en question inclut les électroménagers haut de gamme et est aménagé à partir de matériaux de haute qualité. La cuisine est de design Italien Scavolini.  Situé au cœur de l'action. vous profiterez d'espaces communs alliant style et élégance, sécurité 24 heures."
2BR,NDG,5 1/2 Pet friendly semi-basement apartment for rent,,https://montreal.craigslist.ca/apa/d/5-1-2-pet-friendly-semi/6319365282.html,"A ten minute bus ride to the Concordia's Loyola campus in the heart of NDG, right next to the bike path and several bus routes. A ten minute walk from Vendome and a 5 minute walk from two different grocery stores.

Includes:
-dryer in the apartment (you will need your own washing machine)
-backyard
-wood floors
-a large walk-in closet in one of the bedrooms
-newly renovated bathroom
-lots of storage space

Pictures coming soon.

Please ONLY text"
2BR,3681 Henri Bourassa East,"New, Luxurious 2 Bedroom  Condominium in Montreal Nord",840,https://montreal.craigslist.ca/apa/d/new-luxurious-2-bedroom/6341324644.html,"- New luxurious 2 Bedroom condominium 
 - Air conditioning
 - High ceilings
 - Hardwood floor
 - Concrete slabs between levels
 - Balcony/ Lots of windows
 - Available: immediately 
 - No pets allowed
 - Rent: $ 1,000 per month
 - Building of 9 condominium, constructed in 2015. Situated at the corner of Henri-Bourassa East and Bruxelles 
 - The bus station going to Henri-Bourassa metro is at the corner of the street. At 2km from St Michel train station. A short walk away from a bike/walking path along the river, Marie Clarac school and hospital. 

 CONTACT: 
 

 ------------------------------------------------------------------------------------------------
- Nouveau luxueux  avec 2 chamber à coucher condominium 
 - Climatisation
 - De hauts plafonds
 - Plancher de bois franc
- Dalles de béton entre les niveaux
- Balcon / beaucoup de fenêtres
- Disponible immédiatement
 - Animaux interdits
 - Loyer: 1,000 $ par mois
- Immeuble neuf en copropriété, construit en 2015. Situé à l'angle de Henri-Bourassa Est et Bruxelles
- La station de bus allant au métro Henri-Bourassa se trouve au coin de la rue. A 2km de la gare St Michel. A quelques pas d'une piste cyclable le long de la rivière, de l'école Marie Clarac et de l'hôpital.

 CONTACT:"
1BR,3125 Des Trinitaries,3 1/2 - Metro Angrinon - Across from Parc Agrinon,,https://montreal.craigslist.ca/apa/d/3-1-2-metro-angrinon-across/6341097367.html,"BUILDING FEATURES AND AMENITIES
-  Laundry room
-  Indoor garage
-  Rent includes: Heat, hot water, fridge, stove
-  Photos, size, price and availability may vary
-  

----

CARACTÉRISTIQUES DE L`IMMEUBLE ET COMMODITÉS
-  Buanderie
-  Stationnement intérieur
-  Inclus: chauffage, eau chaude, poâle et frigo
-  Photos, taille, prix et disponibilités peuvent varier
-"
2BR,1511 rue Ste-Hélène,"4 1/2  rénovés, Balcon privé, Métro Longueuil",,https://montreal.craigslist.ca/apa/d/4-1-2-rnovs-balcon-priv-mtro/6331661980.html,"Le 1511 Ste-Hélène est un immeuble en béton de 5 étages géré professionnellement situé à Longueuil offrant des 3 1/2 et des 4 1/2  rénovés non-meublés.
Situé à 10 minutes du métro Longueuil et à 15 minutes du métro Papineau en voiture.
Il est à quelques pas de tous les services et est facilement accessible à partir des ligne d'autobus 23, 77, 123, 170 et 17.  L'immeuble est situé dans un quartier résidentiel très tranquille.




























S'il vous plaît, appelez ou textez au 


-----

The 1511 Ste-Hélène is a professionally managed 5 story concrete building located in Longueuil offering fully renovated 1 and 2 bedrooms unfurnished apartments. 
Located 10 minutes away from Longueuil Métro and 15 minutes away from Papineau Métro by car. 
Few steps away from all the services one needs, is easily accessible by the bus routes 23, 77, 123, 170, and 177.  Building is in very quiet residential neighborhood.



























Please call or text"
1BR,1511 rue Ste-Hélène,"3 1/2 rénovés, Métro Longueuil",,https://montreal.craigslist.ca/apa/d/3-1-2-rnovs-mtro-longueuil/6330341242.html,"Le 1511 Ste-Hélène est un immeuble en béton de 5 étages géré professionnellement situé à Longueuil offrant des 3 1/2 et des 4 1/2  rénovés non-meublés.
Situé à 10 minutes du métro Longueuil et à 15 minutes du métro Papineau en voiture.
Il est à quelques pas de tous les services et est facilement accessible à partir des ligne d'autobus 23, 77, 123, 170 et 17.  L'immeuble est situé dans un quartier résidentiel très tranquille.











































Please call or text"
